I,0.075,0.055,0.01,0.002,0.001,0.001,0.002,1.0
M,0.415,0.325,0.14,0.417,0.154,0.102,0.144,10.0
F,0.62,0.5,0.17,1.148,0.548,0.22,0.332,10.0
F,0.675,0.57,0.225,1.587,0.739,0.3,0.435,10.0
F,0.395,0.295,0.095,0.225,0.078,0.054,0.08,10.0
I,0.35,0.26,0.085,0.174,0.071,0.035,0.06,10.0
F,0.35,0.275,0.065,0.205,0.075,0.047,0.07,10.0
F,0.455,0.36,0.11,0.439,0.206,0.098,0.125,10.0
F,0.585,0.435,0.175,0.982,0.406,0.25,0.27,10.0
F,0.6,0.48,0.165,1.135,0.454,0.27,0.335,10.0
M,0.43,0.35,0.11,0.406,0.168,0.081,0.135,10.0
I,0.435,0.34,0.11,0.407,0.169,0.073,0.13,10.0
M,0.375,0.28,0.095,0.223,0.088,0.043,0.08,10.0
I,0.61,0.475,0.15,0.967,0.415,0.2,0.345,10.0
M,0.635,0.51,0.155,0.986,0.405,0.226,0.31,10.0
M,0.51,0.4,0.14,0.652,0.246,0.167,0.185,10.0
M,0.635,0.475,0.17,1.194,0.521,0.27,0.367,10.0
F,0.595,0.475,0.165,1.148,0.444,0.214,0.37,10.0
F,0.59,0.465,0.17,1.043,0.464,0.24,0.27,10.0
F,0.615,0.475,0.155,1.115,0.484,0.212,0.355,10.0
M,0.625,0.48,0.18,1.223,0.565,0.298,0.338,10.0
F,0.525,0.43,0.165,0.717,0.289,0.175,0.195,10.0
I,0.515,0.375,0.14,0.651,0.25,0.141,0.222,10.0
F,0.42,0.32,0.13,0.414,0.165,0.106,0.119,10.0
I,0.63,0.475,0.145,1.061,0.517,0.22,0.28,10.0
F,0.65,0.52,0.195,1.281,0.599,0.246,0.383,10.0
F,0.615,0.52,0.15,1.344,0.629,0.261,0.345,10.0
F,0.47,0.375,0.125,0.562,0.252,0.137,0.18,10.0
M,0.575,0.46,0.155,0.892,0.442,0.176,0.22,10.0
I,0.575,0.435,0.13,0.805,0.316,0.216,0.245,10.0
M,0.61,0.475,0.155,0.983,0.457,0.228,0.266,10.0
F,0.59,0.455,0.175,0.966,0.391,0.246,0.31,10.0
M,0.7,0.6,0.23,2.003,0.811,0.405,0.576,10.0
F,0.64,0.505,0.165,1.224,0.522,0.27,0.36,10.0
F,0.62,0.48,0.165,1.043,0.484,0.221,0.31,10.0
M,0.37,0.29,0.09,0.241,0.11,0.045,0.069,10.0
F,0.56,0.45,0.16,1.024,0.429,0.268,0.3,10.0
I,0.575,0.45,0.15,0.858,0.449,0.166,0.215,10.0
I,0.54,0.42,0.14,0.667,0.313,0.138,0.19,10.0
M,0.625,0.515,0.165,1.217,0.667,0.207,0.312,10.0
F,0.705,0.535,0.22,1.866,0.929,0.384,0.44,10.0
I,0.605,0.48,0.155,1.0,0.425,0.199,0.3,10.0
M,0.64,0.515,0.165,1.369,0.632,0.342,0.358,10.0
F,0.62,0.475,0.16,1.13,0.463,0.269,0.33,10.0
F,0.42,0.33,0.125,0.463,0.186,0.11,0.145,10.0
M,0.62,0.48,0.165,1.086,0.481,0.258,0.305,10.0
F,0.575,0.45,0.16,1.068,0.556,0.214,0.258,10.0
M,0.55,0.43,0.13,0.84,0.316,0.196,0.241,10.0
F,0.455,0.35,0.14,0.519,0.221,0.127,0.135,10.0
I,0.495,0.385,0.125,0.513,0.208,0.116,0.172,10.0
M,0.53,0.435,0.155,0.699,0.288,0.16,0.205,10.0
M,0.69,0.53,0.19,1.596,0.678,0.331,0.48,10.0
I,0.58,0.44,0.145,0.791,0.353,0.165,0.242,10.0
M,0.595,0.45,0.14,0.838,0.397,0.194,0.217,10.0
F,0.64,0.48,0.145,1.115,0.508,0.24,0.34,10.0
F,0.71,0.54,0.205,1.581,0.802,0.287,0.435,10.0
I,0.605,0.49,0.165,1.071,0.482,0.194,0.352,10.0
M,0.58,0.47,0.165,0.998,0.394,0.242,0.33,10.0
F,0.65,0.535,0.175,1.29,0.61,0.277,0.344,10.0
I,0.55,0.415,0.15,0.792,0.354,0.176,0.236,10.0
M,0.53,0.415,0.14,0.724,0.311,0.168,0.205,10.0
F,0.665,0.5,0.15,1.248,0.463,0.296,0.36,10.0
F,0.625,0.495,0.165,1.262,0.507,0.318,0.39,10.0
M,0.58,0.43,0.13,0.798,0.365,0.173,0.229,10.0
M,0.52,0.395,0.125,0.582,0.257,0.127,0.17,10.0
F,0.595,0.46,0.155,1.046,0.457,0.24,0.309,10.0
F,0.6,0.5,0.16,1.122,0.51,0.256,0.309,10.0
F,0.645,0.52,0.175,1.335,0.667,0.267,0.355,10.0
F,0.5,0.395,0.14,0.716,0.317,0.176,0.24,10.0
M,0.46,0.365,0.125,0.467,0.19,0.095,0.158,10.0
I,0.55,0.435,0.14,0.754,0.329,0.156,0.233,10.0
M,0.495,0.38,0.12,0.474,0.197,0.107,0.155,10.0
F,0.58,0.43,0.17,1.48,0.654,0.324,0.416,10.0
F,0.47,0.355,0.1,0.476,0.168,0.081,0.185,10.0
F,0.66,0.495,0.21,1.548,0.724,0.353,0.393,10.0
F,0.615,0.455,0.145,1.116,0.505,0.238,0.315,10.0
M,0.465,0.405,0.135,0.778,0.436,0.172,0.146,10.0
F,0.48,0.405,0.13,0.638,0.277,0.145,0.21,10.0
M,0.645,0.505,0.165,1.307,0.434,0.262,0.52,10.0
F,0.6,0.45,0.14,0.837,0.37,0.177,0.243,10.0
M,0.705,0.565,0.515,2.21,1.108,0.487,0.512,10.0
F,0.58,0.5,0.165,0.925,0.37,0.185,0.301,10.0
M,0.47,0.37,0.105,0.467,0.203,0.102,0.155,10.0
F,0.465,0.36,0.12,0.477,0.192,0.113,0.16,10.0
M,0.63,0.5,0.185,1.362,0.579,0.313,0.384,10.0
M,0.66,0.525,0.18,1.478,0.582,0.381,0.372,10.0
M,0.645,0.5,0.175,1.338,0.554,0.308,0.415,10.0
F,0.52,0.425,0.15,0.813,0.385,0.202,0.23,10.0
I,0.53,0.43,0.135,0.626,0.245,0.146,0.214,10.0
M,0.64,0.525,0.18,1.314,0.487,0.3,0.408,10.0
F,0.6,0.48,0.17,1.056,0.458,0.244,0.314,10.0
F,0.38,0.325,0.11,0.311,0.12,0.074,0.105,10.0
F,0.695,0.535,0.175,1.839,0.804,0.396,0.503,10.0
M,0.67,0.54,0.175,1.482,0.739,0.293,0.365,10.0
