I,0.075,0.055,0.010,0.002,0.001,0.001,0.002,1
I,0.150,0.100,0.025,0.015,0.005,0.004,0.005,2
I,0.160,0.110,0.025,0.018,0.007,0.006,0.005,3
I,0.190,0.140,0.030,0.032,0.013,0.005,0.011,3
I,0.130,0.100,0.030,0.013,0.005,0.003,0.004,3
I,0.215,0.150,0.055,0.041,0.015,0.009,0.013,3
I,0.140,0.105,0.035,0.014,0.006,0.003,0.004,3
I,0.110,0.090,0.030,0.008,0.003,0.002,0.003,3
M,0.210,0.150,0.050,0.039,0.016,0.009,0.010,3
I,0.195,0.150,0.045,0.038,0.018,0.006,0.011,3
I,0.180,0.130,0.045,0.028,0.013,0.010,0.009,3
I,0.165,0.120,0.030,0.022,0.007,0.005,0.005,3
I,0.205,0.155,0.045,0.050,0.024,0.011,0.014,3
I,0.19,0.15,0.044,0.038,0.018,0.006,0.011,3
I,0.18,0.132,0.045,0.028,0.013,0.01,0.009,3
I,0.11,0.09,0.029,0.008,0.003,0.002,0.003,3
I,0.166,0.12,0.031,0.022,0.007,0.005,0.005,3
I,0.13,0.1,0.03,0.013,0.005,0.003,0.004,3
I,0.213,0.152,0.054,0.041,0.015,0.009,0.013,3
M,0.21,0.15,0.05,0.039,0.016,0.009,0.01,3
I,0.165,0.121,0.03,0.022,0.007,0.005,0.005,3
I,0.173,0.12,0.03,0.022,0.007,0.005,0.005,3
I,0.14,0.102,0.035,0.014,0.006,0.003,0.004,3
I,0.13,0.1,0.03,0.013,0.005,0.003,0.004,3
I,0.16,0.11,0.025,0.019,0.007,0.006,0.005,3
I,0.111,0.089,0.03,0.008,0.003,0.002,0.003,3
M,0.21,0.146,0.05,0.04,0.015,0.009,0.01,3
I,0.18,0.13,0.045,0.028,0.013,0.01,0.009,3
I,0.135,0.104,0.03,0.013,0.005,0.003,0.004,3
I,0.18,0.13,0.043,0.028,0.013,0.01,0.009,3
I,0.16,0.11,0.025,0.017,0.007,0.006,0.005,3
I,0.205,0.155,0.045,0.05,0.024,0.01,0.014,3
I,0.166,0.12,0.03,0.022,0.007,0.005,0.005,3
I,0.16,0.114,0.025,0.018,0.007,0.006,0.005,3
I,0.215,0.15,0.055,0.039,0.015,0.009,0.013,3
I,0.13,0.1,0.03,0.013,0.005,0.003,0.004,3
I,0.13,0.1,0.03,0.013,0.005,0.003,0.004,3
I,0.105,0.09,0.03,0.008,0.003,0.002,0.003,3
I,0.205,0.155,0.045,0.051,0.024,0.011,0.014,3
I,0.21,0.15,0.053,0.042,0.015,0.009,0.014,3
I,0.171,0.12,0.029,0.022,0.007,0.005,0.005,3
I,0.11,0.09,0.03,0.008,0.003,0.002,0.003,3
M,0.218,0.15,0.05,0.039,0.016,0.009,0.01,3
I,0.18,0.128,0.045,0.029,0.013,0.01,0.009,3
I,0.18,0.125,0.045,0.028,0.013,0.01,0.009,3
I,0.127,0.1,0.03,0.013,0.005,0.003,0.004,3
I,0.207,0.144,0.055,0.041,0.016,0.009,0.013,3
I,0.13,0.1,0.03,0.013,0.005,0.003,0.004,3
I,0.165,0.114,0.03,0.022,0.007,0.005,0.005,3
I,0.165,0.113,0.026,0.018,0.007,0.006,0.005,3
I,0.124,0.1,0.03,0.013,0.005,0.003,0.004,3
